,frame,cell number,voltage,resistance,current,power,temperature_1,temperature_2
297,43,cell_4,3.438,0.322,8.484,176.83201200000002,22.400000000000002,22.3
298,43,cell_5,3.462,0.327,8.484,176.83201200000002,22.400000000000002,22.3
299,43,cell_6,3.468,0.327,8.484,176.83201200000002,22.400000000000002,22.3
300,43,cell_average,3.4738333333333338,0.3245,8.484,176.83201200000002,22.400000000000002,22.3
301,44,cell_1,3.44,0.324,8.017,165.045979,22.400000000000002,22.3
302,44,cell_2,3.44,0.325,8.017,165.045979,22.400000000000002,22.3
303,44,cell_3,3.457,0.322,8.017,165.045979,22.400000000000002,22.3
304,44,cell_4,3.376,0.322,8.017,165.045979,22.400000000000002,22.3
305,44,cell_5,3.406,0.327,8.017,165.045979,22.400000000000002,22.3
306,44,cell_6,3.468,0.327,8.017,165.045979,22.400000000000002,22.3
307,44,cell_average,3.4311666666666665,0.3245,8.017,165.045979,22.400000000000002,22.3
308,45,cell_1,3.44,0.324,8.095,166.651765,22.5,22.3
309,45,cell_2,3.44,0.325,8.095,166.651765,22.5,22.3
310,45,cell_3,3.457,0.322,8.095,166.651765,22.5,22.3
311,45,cell_4,3.376,0.322,8.095,166.651765,22.5,22.3
312,45,cell_5,3.406,0.327,8.095,166.651765,22.5,22.3
313,45,cell_6,3.468,0.327,8.095,166.651765,22.5,22.3
314,45,cell_average,3.4311666666666665,0.3245,8.095,166.651765,22.5,22.3
315,46,cell_1,3.44,0.324,8.095,167.77697,22.5,22.3
316,46,cell_2,3.44,0.325,8.095,167.77697,22.5,22.3
317,46,cell_3,3.457,0.322,8.095,167.77697,22.5,22.3
318,46,cell_4,3.376,0.322,8.095,167.77697,22.5,22.3
319,46,cell_5,3.5,0.327,8.095,167.77697,22.5,22.3
320,46,cell_6,3.513,0.327,8.095,167.77697,22.5,22.3
321,46,cell_average,3.454333333333333,0.3245,8.095,167.77697,22.5,22.3
322,47,cell_1,3.44,0.324,7.394,153.248044,22.5,22.3
323,47,cell_2,3.44,0.325,7.394,153.248044,22.5,22.3
324,47,cell_3,3.457,0.322,7.394,153.248044,22.5,22.3
325,47,cell_4,3.376,0.322,7.394,153.248044,22.5,22.3
326,47,cell_5,3.5,0.327,7.394,153.248044,22.5,22.3
327,47,cell_6,3.513,0.327,7.394,153.248044,22.5,22.3
328,47,cell_average,3.454333333333333,0.3245,7.394,153.248044,22.5,22.3
329,48,cell_1,3.516,0.324,6.6160000000000005,139.33957600000002,22.5,22.3
330,48,cell_2,3.517,0.325,6.6160000000000005,139.33957600000002,22.5,22.3
331,48,cell_3,3.525,0.322,6.6160000000000005,139.33957600000002,22.5,22.3
332,48,cell_4,3.465,0.322,6.6160000000000005,139.33957600000002,22.5,22.3
333,48,cell_5,3.525,0.327,6.6160000000000005,139.33957600000002,22.5,22.3
