,frame,cell number,voltage,resistance,current,power
384,55,cell_average,3.487666666666667,0.3185,8.718,182.432868
385,56,cell_1,3.564,0.318,8.951,189.67168999999998
386,56,cell_2,3.5740000000000003,0.317,8.951,189.67168999999998
387,56,cell_3,3.5740000000000003,0.314,8.951,189.67168999999998
388,56,cell_4,3.439,0.319,8.951,189.67168999999998
389,56,cell_5,3.508,0.321,8.951,189.67168999999998
390,56,cell_6,3.531,0.322,8.951,189.67168999999998
391,56,cell_average,3.5316666666666663,0.3185,8.951,189.67168999999998
392,57,cell_1,3.564,0.318,6.694,141.84586
393,57,cell_2,3.5740000000000003,0.317,6.694,141.84586
394,57,cell_3,3.5740000000000003,0.314,6.694,141.84586
395,57,cell_4,3.439,0.319,6.694,141.84586
396,57,cell_5,3.508,0.321,6.694,141.84586
397,57,cell_6,3.531,0.322,6.694,141.84586
398,57,cell_average,3.5316666666666663,0.3185,6.694,141.84586
399,58,cell_1,3.503,0.318,8.017,166.978076
400,58,cell_2,3.4210000000000003,0.317,8.017,166.978076
401,58,cell_3,3.426,0.314,8.017,166.978076
402,58,cell_4,3.439,0.319,8.017,166.978076
403,58,cell_5,3.508,0.321,8.017,166.978076
404,58,cell_6,3.531,0.322,8.017,166.978076
405,58,cell_average,3.4713333333333334,0.3185,8.017,166.978076
406,59,cell_1,3.503,0.318,8.64,179.95392
407,59,cell_2,3.4210000000000003,0.317,8.64,179.95392
408,59,cell_3,3.426,0.314,8.64,179.95392
409,59,cell_4,3.439,0.319,8.64,179.95392
410,59,cell_5,3.508,0.321,8.64,179.95392
411,59,cell_6,3.531,0.322,8.64,179.95392
412,59,cell_average,3.4713333333333334,0.3185,8.64,179.95392
413,60,cell_1,3.503,0.318,7.861,164.57789599999998
414,60,cell_2,3.4210000000000003,0.317,7.861,164.57789599999998
415,60,cell_3,3.571,0.314,7.861,164.57789599999998
416,60,cell_4,3.427,0.319,7.861,164.57789599999998
417,60,cell_5,3.495,0.321,7.861,164.57789599999998
418,60,cell_6,3.519,0.322,7.861,164.57789599999998
419,60,cell_average,3.489333333333333,0.3185,7.861,164.57789599999998
420,61,cell_1,3.5580000000000003,0.318,7.706,162.61201200000005
421,61,cell_2,3.559,0.317,7.706,162.61201200000005
422,61,cell_3,3.544,0.314,7.706,162.61201200000005
423,61,cell_4,3.427,0.319,7.706,162.61201200000005
424,61,cell_5,3.495,0.321,7.706,162.61201200000005
425,61,cell_6,3.519,0.322,7.706,162.61201200000005
426,61,cell_average,3.517000000000001,0.3185,7.706,162.61201200000005
427,62,cell_1,3.5580000000000003,0.318,8.64,182.32128000000006
428,62,cell_2,3.559,0.317,8.64,182.32128000000006
429,62,cell_3,3.544,0.314,8.64,182.32128000000006
430,62,cell_4,3.427,0.319,8.64,182.32128000000006
431,62,cell_5,3.495,0.321,8.64,182.32128000000006
432,62,cell_6,3.519,0.322,8.64,182.32128000000006
433,62,cell_average,3.517000000000001,0.3185,8.64,182.32128000000006
434,63,cell_1,3.5580000000000003,0.318,7.083,149.67795600000002
435,63,cell_2,3.559,0.317,7.083,149.67795600000002
436,63,cell_3,3.561,0.314,7.083,149.67795600000002
437,63,cell_4,3.4370000000000003,0.319,7.083,149.67795600000002
438,63,cell_5,3.508,0.321,7.083,149.67795600000002
439,63,cell_6,3.509,0.322,7.083,149.67795600000002
440,63,cell_average,3.5220000000000002,0.3185,7.083,149.67795600000002
441,64,cell_1,3.5580000000000003,0.318,6.772,143.105904
442,64,cell_2,3.559,0.317,6.772,143.105904
443,64,cell_3,3.561,0.314,6.772,143.105904
444,64,cell_4,3.4370000000000003,0.319,6.772,143.105904
445,64,cell_5,3.508,0.321,6.772,143.105904
446,64,cell_6,3.509,0.322,6.772,143.105904
447,64,cell_average,3.5220000000000002,0.3185,6.772,143.105904
448,65,cell_1,3.5580000000000003,0.318,7.316,154.5505
449,65,cell_2,3.557,0.317,7.316,154.5505
450,65,cell_3,3.556,0.314,7.316,154.5505
451,65,cell_4,3.4370000000000003,0.319,7.316,154.5505
452,65,cell_5,3.508,0.321,7.316,154.5505
453,65,cell_6,3.509,0.322,7.316,154.5505
454,65,cell_average,3.5208333333333335,0.3185,7.316,154.5505
455,66,cell_1,3.5580000000000003,0.318,6.772,143.0585
456,66,cell_2,3.557,0.317,6.772,143.0585
457,66,cell_3,3.556,0.314,6.772,143.0585
458,66,cell_4,3.4370000000000003,0.319,6.772,143.0585
459,66,cell_5,3.508,0.321,6.772,143.0585
460,66,cell_6,3.509,0.322,6.772,143.0585
461,66,cell_average,3.5208333333333335,0.3185,6.772,143.0585
462,67,cell_1,3.525,0.318,9.652000000000001,199.04354400000003
463,67,cell_2,3.446,0.317,9.652000000000001,199.04354400000003
464,67,cell_3,3.456,0.314,9.652000000000001,199.04354400000003
465,67,cell_4,3.265,0.319,9.652000000000001,199.04354400000003
